Title,Stars,Review Text
FooDies MUsiC, 5 stars ,Fine place with full of all accessories of home usage including food and non.food products. Overall Its to much attractive and charming🤗🤗
Arslan Abbas Sherazi, 5 stars ,"Al-Fatah has been providing an assortment of products to its esteemed customer base since 1941. Here at Al-Fatah they are committed day in day out to serve our customers in the best possible way. Al-Fatah family has been successful in revitalizing its relationship with every upcoming generation of our customers. Their customers are our real strength they encourage us to serve the society in the best possible way. In near future the prospects of Al-Fatah are quite bright as they  plan to expand our chain of stores not only in Lahore but in other parts of the country as well till the time that every home nationwide will have an easy accessibility and approach to Al-Fatah.
Al-Fatah is passionate about combining the best of three great worlds together. The world of Quality, Variety and Customer Service they never compromise on quality. We believe in the best, hence, they  serve the best. They always prefer to subsidize prices for our customers to the very possible extent keeping the standards of quality. They thoroughly check the quality of our goods, working only with reliable suppliers so that you only receive the best quality product
With the fast pacing and technologically advancing era they aim to provide complete variety of products to their variety of customers. So that, they do not have to search around for their needs. They aim to present them with all their needs under one roof."
Maria z, 5 stars ,"It was too crowded but at least they told you to wear mask before enter, I bought perfumes so I could only told you about that section, they have vast variety of all branded perfumes and they are definitely original"
Shahid Mian, 4 stars ,Al-Fatah is the best 🛒 mall in the city. It can be further improved by providing some sitting place for accompanying elders.
Dr Karamat Ali, 5 stars ,"Alfateh mall is one of largest malls in Pakistan located in centaurs, Islamabad, Pakistan.
It's located at it's First floor. It has wide range of stock available including grocery, electronics, pharmacy, crockery, gym items, fruits, vegetables and meat.
The quality of product is upto Mark, although 15-20 percent costly than the market, but everything under one roof worth it.
It's worth paying a visit if you go to centeurss mall"
Sidra Haider, 5 stars ,Al Fatah has everything anyone wants its like a mall in itself. Tge prices are affordable and everything is available here.
Muhammad Iqbal, 5 stars ,Vast variety of products. Very good 👍
Shahitude, 5 stars ,"Al Fatah is the only place in Centaurus that have all the groceries, cosmetics and utensils. Furniture, glass items, bakery and stuff toys are extremely in great quality"
Tehreem Tariq, 4 stars ,All good quality items are readily available and the staff is pretty good and helpful.
MUHAMMAD ARIF, 1 star ,What use of this big store if it does not provide home delivery to Rawalpindi Residents?
zarqa akhtar, 5 stars ,"Good Shopping.
Got all things I needed.
Good prices."
kanza malik, 2 stars ,Small space with alot of isles. Congested.
Mahboob Qadri, 5 stars ,Perhaps a little expensive as compared to other stores. But really great
mustanir ahmad, 5 stars ,One of the leading super store based on international super stores concept where you can buy almost everything under one roof.
Shaista Khan, 4 stars ,"Really a good place to shop where u can get everything under one roof..
Speciality of Alfatah is that if you are not getting any imported spice ,seed or sauce from anywhere you will definitely get it from Alfath:)"
Monee Khan, 4 stars ,All household items under one ceiling. Most of the items are at very reasonable prices.
jalal bukhari, 4 stars ,"It's decent grocery store with most of the stuff under one roof, consisting of major household commodities , bit expensive though, BTW Just thinking why Toblerone Dark is Missing in all big stores of Islamabad 🤔🤔🤔"
Farhan Maqbool, 5 stars ,"Complete shopping stuff under a roof, quality stuff is guaranteed"
Aamir Shahzad, 3 stars ,"I will rate this under because no professionalism.
Management really needs to improve themselves.
Also Prices are too high."
Nafis Afzal Satti, 5 stars ,"Very nice place to shop under one roof. Competitive prices, excellent quality"
Shahbaz Ali, 5 stars ,All under one roof. Amazing
imran javeed, 1 star ,Good achi offers thi
Asadullah Ahmad, 3 stars ,"This review is only for their online delivery service. My experience with their actual store in Centaurus has been good.

Before even ordering anything, I had called them and asked to confirm about bank transfer or card payment option. They told me they have mobile POS machines and it won't be an issue. In order notes I also mentioned clearly that I want to pay only via card or advance bank transfer. Then during confirmation call when they told me 3 items were missing, I again confirmed and reminded them that I have to pay with my card so they send MPOS machine or ask me to deposit in advance.

When the delivery guys came, however, they didn't have the MPOS and asked for cash. After explaining and discussing, thankfully one of them agreed that I transfer to his Easypaisa account so they didn't have to take the delivery back. Funnily enough, I have just now noticed that on the back of the receipt they even wrote ""Payment has to be made with debit card. Take the machine with you"".

On top of this issue, I won't recommend their fresh fruit delivery. I don't know if the fruits were severely damaged during transport or they picked really damaged ones in their store, but quite a few guava/amrood were mushed and squished, while most bananas in bottom row were either split open or were leaking as can be seen in picture. A few other items that were in my order were also missing when I wasn't informed about their unavailability on phone. But I was only charged for the items that were delivered to me."
Kamal Baig, 5 stars ,Very nice store.everything you need under one roof.prime location inside centaurus mall islamabad
Waheed Ashraf, 5 stars ,Everything is available there to buy. Quality and price is very good.
Awais Qarni, 5 stars ,"Best shopping mall.
Prices are reasonable although located in CENTAURUS."
Adeel Anwar Baig, 3 stars ,A very good store; exceptional variety; very cooperative & supportive staff
Adnan Abbasi, 5 stars ,Al fateh is one of the most bestet store in Centaurus mall because is this served original things and inexpensive
Saleh Butt, 5 stars ,Best place to shop Variety and confidence of being genuine products. Best price for imported products. And very cooperative staff.
Abdul Basit, 3 stars ,"Variety of goods available at reasonable price.
Congested place.
No one is allowed to bring shopping trolley outside the store without their representative."
George Morris Belton, 4 stars ,A good place to buy groceries while visiting Centaurus but its no match to Metro. Things are relatively less in quantity and expensive too.
Shakeel Tirmizi, 5 stars ,"A Lovely place for shoping in Centuarus Islamabad
Mostly people visit it for fun and window shopping so therefore the management team of Centaurus mall  set the entry fee Rs:300
But a good news for Army persons that thay are allowed  free entrance,"
Maria Khan, 4 stars ,"It's very nice, as always....but alot of this were out of stock on my last two visits....."
Wain Stanton, 3 stars ,"Not enough savoury, but good."
Nabeela Arshad, 4 stars ,Nice place to shop for monthly grocery
Jan Mahar, 3 stars ,"Convenient for grocery, if visiting Centarus mall"
Faizan Faiz, 4 stars ,The area may be a little conjusted. But there was variety of almost everything.
Ahmad Khan, 4 stars ,A good store. But must be bigger like the one in Lahore
Muhammad Ishtiaq, 5 stars ,You can get some quality products as well as expensiv brands there under one roof ;)
Amen Hashmi, 5 stars ,"Awsome place for all household items including hight quality grocery, toys, cosmetics, cutlery, bed and bath etc"
Nazish Khan, 5 stars ,"Here at this store , one can get everything...yes everythinng :)"
Samad Talib Khan, 4 stars ,It's a got a huge variety of products to offer. It's little expensive.
Shujaat Bajwa, 4 stars ,They are good but they don't hesitate to mix soon-expiring items on the shelves so always read the expiry date.
ssali zaib, 1 star ,"Al-Fatah is an Option when you not go to METRO CASH AND CARRY, PANJAB CASH AND CARRY, D-WATSON, SAVE MART, THEN you choose this 3rd class cash and CARRY."
Faurat Sheikh, 5 stars ,Al-Fatah Is best  grocery store in pakistan
The National Standard, 4 stars ,"Nice shopping mall. Everything of daily needs is available under one roof. We purchased some crockery, a water bottle, groceries and gymnasium equipment, form AL Fatah. So everything under one roof. It is always a good experience to be there."
Ammar Masood, 4 stars ,Good variety especially of imported items
Habib Ur Rehman, 4 stars ,under one roof all quality products. save time save smartly
Hasnain Maken, 5 stars ,I have visited and found many quality products here.
Hassan Shahzad, 3 stars ,The quality of products is good but the overall maintainance and setup is not good.
smt meer, 5 stars ,Best place to buy garments perfumes crockery etc.
Makhdoom Adeel Abbas, 5 stars ,A very famous grocery store and shopping mall
Hammad Baig, 4 stars ,"Good variety, really liked the experience. Might go again."
Coco Malfoy, 4 stars ,"Good for import stuff, but the product availability is inconsistent"
Sana Azam, 3 stars ,It feels so conjusted and they won't provide you a shopping bag for free
Engr Syed Mohsan Bukhari, 4 stars ,"Alfatah has grocery,crockery,home appliances frozen food and even dresses. Its close to being a super store, housed in a small space at Centaurus."
Farah Bukhari, 5 stars ,Love it.... You can get all under one roof
Baylaal Khan, 2 stars ,"Such a big store. They have everything. But cannot afford to give away ""shopping Bag"" for free. People who buy items worth thousand shouldn't be asked if thhey need Shoppers or not. Ofcourse they would need it. Not a customer friendly place."
Fouzia Aslam, 5 stars ,Every thing is available with good prices. Cooperative staff.  I enjoyed shopping there.
Fahad Usman, 3 stars ,Very crowded. And imported items shelf is almost empty.
Anjum Afzal, 4 stars ,"Variety is very good, every section have ample options. i felt it but congested but according to locality margin can be given. Prices are also good and u can have almost everything here."
Wajiha Siddiqi, 4 stars ,"Superb must visit for good shopping.
🙂"
Faisal Asghar, 5 stars ,A good cash and carry place in Centaurus . Almost every item of every category is available here .
Info Maxneed, 5 stars ,Very nice shopping mall with good options
Muhammad Sarfraz, 5 stars ,Pretty good has everything you need but is fairly expensive
Asad Kazmi, 5 stars ,"Al-Fateh is a good place to visit, it’s a one stop shop where you can get most of the stuff for your kitchen and house. Also the prices , product quality and customer care are excellent and significantly improved with the passage of time."
Mansoor Ahmed, 2 stars ,Toooo expensive things there
Capital Zone, 5 stars ,Good store with branded and non branded items
rashid ali tamoor, 3 stars ,Al-Fatah store was in my to visit list as listen many times for their quality items. It was well presented everything from the cutlery grocery electronics to other household items. But the price was far higher compared to the original price of items. On asking why the price is so high they could not make it clear. The store area should be larger as per its capacity. And cash counter was also not enough. Al-Fatah should focus on pricing as it is not suitable for a supermarket to overcharge its customers.
faiqa urooj, 5 stars ,I specifically went there for cosmetic and makeup stuff and it has nearly most of makeup brands and their service was good too
Sana Ali, 4 stars ,Just amazing. Loved this spot
Iqra Qureshi, 5 stars ,"It is a very good store for monthly shopping, the prices are a bit too high for crockery but the quality is good."
Humaira Jamil, 4 stars ,Good variety of grocery and crockery. But price is on higher side.
Dr.Faisal Shahzad, 5 stars ,Awesome. You can buy almost any thing in this super store (Situated in Centaurs).
Waqar Cheema, 4 stars ,A store very Well Stocked with Reasonable Rates Structure.
Sardar Muhammad Umair, 4 stars ,Crowdy but a nice place
Shehryar Manzoor, 5 stars ,I like to have options. That's what al-Fatah offers. Grocery at al-Fatah is a good experience. One thing missing though is a play area of sorts for toddlers.
Ismat Askar, 5 stars ,A nice place to shop...everything is available here so happy shopping 😊❤
Aatif Rashid, 4 stars ,One of the best place for groceries in Islamabad
Sundas Mahmood, 4 stars ,"Al-fatah is great place to shoo groccery,beautiful crickery,beauty prosucts.This os theplace whrte you can find high end products from.all over the world.The only issue i think is about its space..Its a bit congested place..In summers sometimes it gets a bit difficult to shop thete due due suffocation."
Aamir Raza, 4 stars ,Verity is available.  But there is no  discount. Beauty  products  available.  I have good experience  but expensive.
TEK BIT, 4 stars ,"Al -fatah super store is huge store for buying everything u need. Everything is available from grocery ,perfume u must come for shopping."
Rizwan Sardar, 5 stars ,"Excellent Store  . Little Bit Expensive  But U Will Get Everything From
Al Fatah  ."
ibn e batoota, 5 stars ,Very expressive. Rates are even more than double
Muhammad Yousuf, 4 stars ,"Good to see selective cosmetics, bags, etc."
amira shah, 4 stars ,It was a huge disappointment as the imported items like coffees and candies are no longer on shelfs.rest of the store is same and staff is helpful.
Hamid Minhas, 5 stars ,"A place for all your needs (grocery, electronics, furniture, clothing, food, bakery etc.).

Although expensive but variety couldn't be matched with any other similar store.

Must visit store."
Saima Shahid, 5 stars ,"It is great but it dont have main main things,grocery etc"
shamsa khalil, 1 star ,"Pet corner is very bad,expired food with fresh packing using cheap tricks to sell.i buyed cat food meow mix after eating my cat start vomiting and the next day when I went to exchange it and tell them that food is not fresh they refused to even exchange it and start giving lame excuses,very disappointing service."
Waseem Sumer, 5 stars ,Nice markete. World class brands are available .
ThunderStormPlaysYT, 5 stars ,"All under one roof, you have money; it is your heaven."
Safar Khan, 5 stars ,Nice place for ration and the prices are economical every thing is available under 1 roof.
Muhammad Tariq Baig, 4 stars ,One place to buy everything.
Hassan Ali, 3 stars ,Small mart with good quality household items.
Mohammed Rizwan Abdul Sattar, 4 stars ,Supermarket information Centaurus mall ISB. Good store with good variety of groceries.
Frankfort khanusa, 5 stars ,It was awesome shopping center
Aisha Nasim, 4 stars ,Nice place to shop with family and friends.
Maria Aamir Khan, 4 stars ,Allot of variety of stuff. Great brands and prices range
Ahmer Hassan, 4 stars ,"A good place with all essential items but 1 once got a bad bread which after opening at my home stinked badly, the ordinary serums are not available from 4 months and they cant make them available"
Tufail Arbab, 5 stars ,Loved the place you can buy anything you want
Sohail Abdullah, 4 stars ,Nearly everything you want is available under one roof at reasonable price.
Humaira Wattoo, 4 stars ,It's an awesome super store .. but with high prices and  no discounts .. but imported stuff .. a store for people with lot of money ..😍👍🤗
Asma Aslam, 4 stars ,"Good, quality of products is good and you can shop for grocery and crockery."
Kazi nazir ahmed, 4 stars ,"Very good. They keep things which attract your eyes. So crowded and full of fun. Shopping here has always been fascinating, especially their crockery, table and silverware. The Centre and decoration Pieces, the dishes, lamps and ( during my vosit this time in winter, theor) marvellous collection of  fireplaces and heaters was eye-catching"
amen shahid, 5 stars ,One stop shop for sure. Loved it.
Nauman Khan, 5 stars ,There prices are quite good. Better than most of the stores out there. Plus you can get alot of stuff with a great quality.
Jaffar Syed, 1 star ,Very poor n out of dated products with high price tag
A Theachabacha, 5 stars ,Fairly good department store like place but on smaller scale.  The variety of products is the main attraction.
Faran Butt, 4 stars ,Best place for daily use items
Rimsha Haq, 4 stars ,It was very good for groceries.
Mehboob Iftikhar, 4 stars ,Outstanding quality products
ali shah, 4 stars ,Genuine products especially imported items mind satisfaction with good customer care
Rana Saeed, 5 stars ,Good cash n carry
Sadia Faisal, 5 stars ,Big store with every hosehold and gros item
shaheryar safdar, 5 stars ,Good prices
Madiha Arooj, 3 stars ,They need to improve their crockery and make up sections.
Nouman Aziz, 5 stars ,Nice place and all items available under a single roof
William Clarke, 5 stars ,You never gonna be disappointed if you need something special standard quality and genuine staff
Nawaz Muhammad, 4 stars ,Good but smaller than that in Faisalabad.
Dr. Sajida Naseem, 5 stars ,"Good place for shopping, prices very reasonable"
Imran Yasin, 4 stars ,You need it? You have it
Muhammad Usman Bilal, 4 stars ,Great selection of grocery items but the other items are expensive
abdullah bin naeem, 5 stars ,Good and imported items
Asim Shahzad, 5 stars ,Good variety of products. I love their cosmetics counter specifically for the perfume collection and pricing. They carry all major brands and also have great cheapies like Armaf. The staff is cooperative enough. Good place to shop.
Khursheed Qureshi, 3 stars ,Medium quality products
Muhammad Wajahat, 5 stars ,A super market with all kind of items with reasonable prices
Faiz Paracha, 4 stars ,Very expensive store. For the elites of Islamabad.
Muhammad Imran, 4 stars ,"Here you can find a good range of home electronics, cutlery, grocery, clothing, make-up and other type of products. And during shopping from Centraus Mall you can also do your grocery etc from here."
Arshad Quddus, 5 stars ,"Best place to shop. Good prices, all available and courteous staff. 👍"
Zofishan Aimen, 5 stars ,Love this place everything under one roof 😊😊😌
Mark Twain, 5 stars ,"Lovely store in Centaurus Mall.Rates high but discounts available.Electronics and cutlery are the best sections.
Staff trained.
Highly recommended."
Zoya Zafar, 5 stars ,Nice place but not much variety
Mahmood Hassan, 3 stars ,"Crowded
Not enough payment counters
You have to park the car in the parking which is quite far from the store so it becomes inconvenient to walk all the way carrying bags"
Awab Hassan, 5 stars ,Crowded as hell but you can get things from different brands not available in Pakistan
Fatima Aziz, 5 stars ,Good place for buying your basic grocery!
waris zaman, 5 stars ,Everything is fresh here.... experienced
MUHAMMAD Atif, 1 star ,Very expensive and compromised quality products
I AM ASAD, 5 stars ,Best supermarket in town 👍🏻👏🏻🇵🇰
ZaZu, 5 stars ,Nice store and every thing available
Umair Qaisar, 1 star ,Poor things high price
Qurat Ul Ain, 5 stars ,Everything under ONE ROOF. A complete range if almost all household items
Imran K. Chaudhry, 5 stars ,Great place to shop groceries and home accessories. All under one roof. Thumbs Up!
Azhar Mahmood, 4 stars ,Simply a vast variety Grocery sotre
Fauzia Durrani, 5 stars ,Great but they are not taking well pandemic measures.
Breerah Fatima, 5 stars ,"That's true..
Generations stops to shop here..."
Ilyas Ahmad Khan, 3 stars ,"You will find what ever you require, but prices are high."
Daudkhan Khattak, 4 stars ,It is a good place like everything is avaliable here
Muqadisa Usman, 5 stars ,A good variety of items both local and imported are available at all times
Sumbal Mojtaba, 4 stars ,A place where local & international brands r available. Alot of variety to choose from. But I was surprised to see some rip offs 😐
Uccello Tours, 5 stars ,Best Grocery store in Town.
Qasir Javaid, 3 stars ,Ok
Hammad Siddiqui, 5 stars ,Verry carefully security systems allwa
HAR KUR, 3 stars ,Always wow experience .... can say one of the best store in twin cities
Arfeen shazad, 4 stars ,God shopping experience.
Tt Mm, 2 stars ,Too much items in small space. Very less walking space for customers.
Tayyab Rizvi, 4 stars ,You can find almost everything here
Omar Saeed, 5 stars ,"Al Fatah is great place for household, kitchen wares, decoration, grocery and cosmetics etc shopping. You will love to visit this multi departmental store. Bit expensive but items are great."
Muslim Shah, 4 stars ,You can buy the best in groceries.
Monia Khan, 3 stars ,"Bit expensive, but you find everything you need"
Muhammad Adil Khan, 5 stars ,"It's hugee. You can find pretty much all grocery items under one roof. Groceries, cosmetics, garments, fitness items, and what not. Do pay them a visit"
Quratulain Uzair, 3 stars ,Co operating staff abit expensive for household items
Mashhood Tariq, 4 stars ,Great good pricing fair
Usman Janjua, 5 stars ,"Great store to visit for crockery, electronics and grocery"
nauman wajid, 1 star ,Worst place when it comes to after sales services. Never buy dog food from here. Expired food with big living worms inside. Don't risk your pet's life with food that is relatively cheap here from the rest of market. Went there to make a complain and they refused to return and even see what's in the dog food bag.
Hassan Tariq, 5 stars ,Nice place for window shopping 😉😉😉
Amtul Rehman Wajid, 4 stars ,I always enjoy the variety and price of the imported stuff in Al Fatah. Their products r genuine and well priced. A good place for grocery shopping.
Amir Azam Khan, 5 stars ,Best place to shop in centaurus
Ahsan Amir, 1 star ,End price different from reck price
Zulqarnain Khan, 4 stars ,Good collection under one roof
mohammad jamil, 5 stars ,Good for all kind of shopping i like it
Sajjad Azhar, 5 stars ,"Excellent store, excellent service and staff"
Rabia Awan, 5 stars ,"Best place for shopping of  grocerry ,cutlery and other items"
Shumaila Khan, 5 stars ,V good
Muhammad Sajjad, 1 star ,"There most of the items are near to expiry date, none of service boys inform the correct information. They don't have any dispenser for drinking water, the staff say buy a bottle of mineral water to quest your thirst, or remain thirsty,"
Hira Salman, 1 star ,Good experience
HOME 360, 2 stars ,so sorry it's services has deteriorated has become expensive and SOPS FOR COVID 19 NOT OBSERVED AT ALL
Maryam Tariq, 2 stars ,A good place to find all those products not available in Pakistan or other shopping areas but their prices are way too high
Noureen Waheed, 5 stars ,Good place for purchasing everything
ashfaq ahmad, 1 star ,Too much rush none of the shops were observing sops and the temperature was quite hot.Dissapointed 🙁
Farhat Karim Hashmi, 5 stars ,"An upscale departmental store, the only store of Lahore chain of departmental stores. A good and pricy stuff is there for affluent society."
Rafay Raza khan, 5 stars ,"Everything, I mean everything 😉 under one roof . One stop shop.
You👉🏻 should visit."
Syed Muhammad Ahtsham, 5 stars ,Widest range of best quality products under one roof at capital city.
safdar ali, 5 stars ,The mega store with top brand house holds
Yasir Khursheed, 5 stars ,Nice store but abit expensive.
Faisal Nazeer, 5 stars ,Best In Islamabad to get everything
shafqat munir, 3 stars ,Expensive than other stores in town.
Furkhanda Naz, 1 star ,"Too rushy, staff is not courteous at all"
Umar Islam, 3 stars ,Although they have gigantic variety of products but they are expensive as compared to rest of the market
Learn With Waqar, 5 stars ,if you need any cosmatic item which is short you can find here
Muhammad Junaid, 5 stars ,"Went there with family. Almost every household product is available under one roof. Staff was cooperative and humble. Best option to get beverages on same price as in other markets, otherwise mall is quite expensive."
Hasib Nawaz Ahmad, 5 stars ,Authentic stuff with reasonable rates..
Muhammad Irfan Bashir, 5 stars ,Very good store for all your needs. You can find almost every thing starting from groceries to every thing. Variety of articles present here.
Khalid Khan, 4 stars ,Good variety of things.
Muhammad Kashif Khan, 4 stars ,"Good store almost everything is available, Price is not competitive as compared to the market, only plus point is that they have all you need under one roof and that's all."
Khalid Ghaffar, 4 stars ,Nicely laid and trained staff to lookafter clients
imran haider, 4 stars ,This store has everything you can think off.. but very very expensive
Hamza Ali, 5 stars ,Any thing which can't be found from all over punjab will be available here.
Fatema Mustafa, 4 stars ,Good super market.everything available at nominal prices
Naina Ahmad, 4 stars ,Ok
Jawad Karamat, 5 stars ,Great place for grocery
sajiddain fakhree, 4 stars ,Nice place to shop
fatima shafqat, 5 stars ,Its the best place...you can find anything here from groceries to makeup and everything a house needs
emad rashid, 5 stars ,Staff is copra tive and friendly.
Yahya Shahid, 4 stars ,They have very good prices.
Usman Ahmed, 4 stars ,It's a good place to visit!
Alee Abbaas, 5 stars ,Good.
Samra Khan, 4 stars ,Good grocery store. Has all the local and many international brands. There is also a large portion devoted to household appliances and chinaware.  One can always find crockery and cutlery for home as well as gift. The prices are very good.
Engr Faiz ur rahman, 4 stars ,good for normal people shopping
Pin di, 2 stars ,👍
The Balochi Channel, 5 stars ,It was fantastic
Omar Malik, 4 stars ,Good place for shopping. But we are not allowed to take shopping cart out side
Usman Ahmad, 4 stars ,A great but expensive place to do a shopping. But you can still pay a visit to do a window shopping which is absolutely free :)
Sohaib Arshad, 5 stars ,"Excellent place to buy Imported stuff like lotions, creams & shampoos"
Amna Fahad, 2 stars ,Very bad experience ..t
Adeela Zahid, 5 stars ,As always fantastic
Bilal Ahmad, 5 stars ,Good place
Imran Ahmad Bajwa, 5 stars ,Available stock fresh and sound packing
Mr Hamza, 5 stars ,Approx. All Things Under One place
Hassan Ali, 3 stars ,it was good but cosmetics section don't have much items
