Title,Stars,Review Text,reviewSentiment,ContradictReview
sabeera hussain, 5 stars ,Expensive  phr ata hn monal islamabad,Negative, 5 stars  Negative
Muhammad Danish, 5 stars ,The monal special burger was tasty and flavoursome. The other food was average. We paid mainly for the view it seems. I would rate this place 2stars due to the staff giving us the wrong bill which came to over double the amount of the value …,Negative, 5 stars  Negative
Muhammad Asif Akram, 1 star ,"Wonderful place for family get together, official, meeting, birthdays, parties, and gatherings, is a very cozy environment. The monal gives extraordinary aerial view of Islamabad city .
My favorite place in life...",Positive, 1 star  Positive
Khalil Ur Rahman, 5 stars ,A very famous restaurant at Pir Suhawa. Too expensive compared to food taste and quality. Substandard service level due to over occupancy. They don't bother any complaint or stopping annoyed customers.,Negative, 5 stars  Negative
Abdul Bari Khan, 5 stars ,Very expensive. LA Montana restaurant which is just beside the monal is much less expensive and food is very good.,Negative, 5 stars  Negative
mian usman, 1 star ,Very nice place with awesome view...,Positive, 1 star  Positive
Umar Khaliq, 5 stars ,Best place to dine out if you are in Islamabad. But expensive. Very cold in winters.,Negative, 5 stars  Negative
Ali Butt, 5 stars ,"Little bit pricey but once in a while, a must place to visit....",Negative, 5 stars  Negative
Faisal Tariq, 1 star ,Good quality food well managed  but too much expensive,Positive, 1 star  Positive
Shakir khan Hadawal, 1 star ,Beautiful view especially at night,Positive, 1 star  Positive
Imran Bashir, 1 star ,It's famous due to weather and city view,Positive, 1 star  Positive
Shoaib Khalil, 1 star ,It is at beautiful place. Serving and presentation is good but rates are little bit high.,Positive, 1 star  Positive
Hasan AlAgele, 5 stars ,"The restaurant only offers one thing and that is a view of Islamabad. The food is terrible, substandard and overpriced. You can get better pakistani food at roadside dhabbas. The worst are their platters, in which mostly leftover and stale food is served.
The washrooms are dirty. Parking is a mess
Not recommended at all,",Negative, 5 stars  Negative
Shaheer Jawad, 1 star ,Serene location with beautiful views of Islamabad. Chocolate Molten Lava Cake is good. Desi food is well cooked. Food is too priced. Its better to have snacks rather than meal. A must visit place if you are around Islamabad.,Positive, 1 star  Positive
Qari Yousuf Siddiquei, 5 stars ,I m disagree monal food quality is too low shame on u monal it is not your status,Negative, 5 stars  Negative
Shahid Ali Syed, 5 stars ,Food quality very poor,Negative, 5 stars  Negative
